,forecast_eur_mwh
2026-01-02 00:00:00+00:00,3.6315136
2026-01-02 01:00:00+00:00,3.1201231
2026-01-02 02:00:00+00:00,3.748314
2026-01-02 03:00:00+00:00,8.637514
2026-01-02 04:00:00+00:00,18.876865
2026-01-02 05:00:00+00:00,35.95397
2026-01-02 06:00:00+00:00,49.817387
2026-01-02 07:00:00+00:00,53.7049
2026-01-02 08:00:00+00:00,47.476177
2026-01-02 09:00:00+00:00,44.81514
2026-01-02 10:00:00+00:00,44.37801
2026-01-02 11:00:00+00:00,44.153095
2026-01-02 12:00:00+00:00,50.169403
2026-01-02 13:00:00+00:00,58.341423
2026-01-02 14:00:00+00:00,69.20164
2026-01-02 15:00:00+00:00,80.06139
2026-01-02 16:00:00+00:00,87.238
2026-01-02 17:00:00+00:00,85.38891
2026-01-02 18:00:00+00:00,75.90902
2026-01-02 19:00:00+00:00,63.88439
2026-01-02 20:00:00+00:00,57.697227
2026-01-02 21:00:00+00:00,52.27832
2026-01-02 22:00:00+00:00,48.17245
2026-01-02 23:00:00+00:00,43.84328
2026-01-03 00:00:00+00:00,73.45523
2026-01-03 01:00:00+00:00,70.10115
2026-01-03 02:00:00+00:00,68.492
2026-01-03 03:00:00+00:00,68.04053
2026-01-03 04:00:00+00:00,67.32745
2026-01-03 05:00:00+00:00,69.47429
2026-01-03 06:00:00+00:00,76.20551
2026-01-03 07:00:00+00:00,80.011826
2026-01-03 08:00:00+00:00,78.318985
2026-01-03 09:00:00+00:00,76.19175
2026-01-03 10:00:00+00:00,73.47501
2026-01-03 11:00:00+00:00,71.81987
2026-01-03 12:00:00+00:00,71.74513
2026-01-03 13:00:00+00:00,76.04084
2026-01-03 14:00:00+00:00,82.48608
2026-01-03 15:00:00+00:00,89.93198
2026-01-03 16:00:00+00:00,96.23702
2026-01-03 17:00:00+00:00,94.999756
2026-01-03 18:00:00+00:00,89.641174
2026-01-03 19:00:00+00:00,84.57223
2026-01-03 20:00:00+00:00,78.9926
2026-01-03 21:00:00+00:00,76.01523
2026-01-03 22:00:00+00:00,73.27687
2026-01-03 23:00:00+00:00,69.25366
2026-01-04 00:00:00+00:00,85.25884
2026-01-04 01:00:00+00:00,82.75571
2026-01-04 02:00:00+00:00,81.45237
2026-01-04 03:00:00+00:00,82.04779
2026-01-04 04:00:00+00:00,86.034805
2026-01-04 05:00:00+00:00,94.481476
2026-01-04 06:00:00+00:00,103.49493
2026-01-04 07:00:00+00:00,107.15787
2026-01-04 08:00:00+00:00,102.50881
2026-01-04 09:00:00+00:00,99.59305
2026-01-04 10:00:00+00:00,98.19096
2026-01-04 11:00:00+00:00,96.81294
2026-01-04 12:00:00+00:00,97.95913
2026-01-04 13:00:00+00:00,102.98591
2026-01-04 14:00:00+00:00,110.49313
2026-01-04 15:00:00+00:00,118.72547
2026-01-04 16:00:00+00:00,124.42415
2026-01-04 17:00:00+00:00,123.74982
2026-01-04 18:00:00+00:00,118.56263
2026-01-04 19:00:00+00:00,110.43743
2026-01-04 20:00:00+00:00,104.33601
2026-01-04 21:00:00+00:00,100.35955
2026-01-04 22:00:00+00:00,96.61263
2026-01-04 23:00:00+00:00,93.73558
2026-01-05 00:00:00+00:00,85.99858
2026-01-05 01:00:00+00:00,84.00432
2026-01-05 02:00:00+00:00,83.334305
2026-01-05 03:00:00+00:00,86.18149
2026-01-05 04:00:00+00:00,95.36715
2026-01-05 05:00:00+00:00,112.79976
2026-01-05 06:00:00+00:00,128.47699
2026-01-05 07:00:00+00:00,133.42845
2026-01-05 08:00:00+00:00,126.58087
2026-01-05 09:00:00+00:00,121.10352
2026-01-05 10:00:00+00:00,118.51015
2026-01-05 11:00:00+00:00,117.66824
2026-01-05 12:00:00+00:00,119.86266
2026-01-05 13:00:00+00:00,123.97066
2026-01-05 14:00:00+00:00,130.12206
2026-01-05 15:00:00+00:00,137.49643
2026-01-05 16:00:00+00:00,143.60474
2026-01-05 17:00:00+00:00,144.72046
2026-01-05 18:00:00+00:00,136.5628
2026-01-05 19:00:00+00:00,122.85783
2026-01-05 20:00:00+00:00,113.75576
2026-01-05 21:00:00+00:00,108.40546
2026-01-05 22:00:00+00:00,103.284706
2026-01-05 23:00:00+00:00,100.46668
2026-01-06 00:00:00+00:00,102.72342
2026-01-06 01:00:00+00:00,99.04569
2026-01-06 02:00:00+00:00,97.020905
2026-01-06 03:00:00+00:00,100.03675
2026-01-06 04:00:00+00:00,111.3876
2026-01-06 05:00:00+00:00,131.17776
2026-01-06 06:00:00+00:00,151.71889
2026-01-06 07:00:00+00:00,160.89209
2026-01-06 08:00:00+00:00,155.42581
2026-01-06 09:00:00+00:00,150.3988
2026-01-06 10:00:00+00:00,146.87668
2026-01-06 11:00:00+00:00,143.69646
2026-01-06 12:00:00+00:00,141.67313
2026-01-06 13:00:00+00:00,143.32654
2026-01-06 14:00:00+00:00,149.23639
2026-01-06 15:00:00+00:00,161.68565
2026-01-06 16:00:00+00:00,170.2995
2026-01-06 17:00:00+00:00,161.98816
2026-01-06 18:00:00+00:00,142.34854
2026-01-06 19:00:00+00:00,125.58821
2026-01-06 20:00:00+00:00,113.10004
2026-01-06 21:00:00+00:00,103.42882
2026-01-06 22:00:00+00:00,94.32837
2026-01-06 23:00:00+00:00,91.277534
2026-01-07 00:00:00+00:00,89.367516
2026-01-07 01:00:00+00:00,86.06381
2026-01-07 02:00:00+00:00,84.1651
2026-01-07 03:00:00+00:00,85.31963
2026-01-07 04:00:00+00:00,90.7158
2026-01-07 05:00:00+00:00,102.18841
2026-01-07 06:00:00+00:00,115.532974
2026-01-07 07:00:00+00:00,121.27951
2026-01-07 08:00:00+00:00,116.57918
2026-01-07 09:00:00+00:00,110.90879
2026-01-07 10:00:00+00:00,107.50999
2026-01-07 11:00:00+00:00,105.54995
2026-01-07 12:00:00+00:00,104.31602
2026-01-07 13:00:00+00:00,105.20334
2026-01-07 14:00:00+00:00,106.489655
2026-01-07 15:00:00+00:00,112.76376
2026-01-07 16:00:00+00:00,118.146255
2026-01-07 17:00:00+00:00,116.48168
2026-01-07 18:00:00+00:00,109.001
2026-01-07 19:00:00+00:00,100.79164
2026-01-07 20:00:00+00:00,95.961975
2026-01-07 21:00:00+00:00,92.80336
2026-01-07 22:00:00+00:00,88.478226
2026-01-07 23:00:00+00:00,86.26946
2026-01-08 00:00:00+00:00,83.192444
2026-01-08 01:00:00+00:00,81.400314
2026-01-08 02:00:00+00:00,81.181656
2026-01-08 03:00:00+00:00,85.999435
2026-01-08 04:00:00+00:00,97.750885
2026-01-08 05:00:00+00:00,114.1466
2026-01-08 06:00:00+00:00,130.41711
2026-01-08 07:00:00+00:00,136.79575
2026-01-08 08:00:00+00:00,132.00266
2026-01-08 09:00:00+00:00,127.6267
2026-01-08 10:00:00+00:00,125.34177
2026-01-08 11:00:00+00:00,123.91272
2026-01-08 12:00:00+00:00,124.37267
2026-01-08 13:00:00+00:00,126.94481
2026-01-08 14:00:00+00:00,132.80438
2026-01-08 15:00:00+00:00,139.53157
2026-01-08 16:00:00+00:00,143.00475
2026-01-08 17:00:00+00:00,138.87979
2026-01-08 18:00:00+00:00,127.85503
2026-01-08 19:00:00+00:00,114.01949
2026-01-08 20:00:00+00:00,103.80214
2026-01-08 21:00:00+00:00,94.06818
2026-01-08 22:00:00+00:00,85.50266
2026-01-08 23:00:00+00:00,82.17175
2026-01-09 00:00:00+00:00,71.94156
2026-01-09 01:00:00+00:00,68.777176
2026-01-09 02:00:00+00:00,64.597786
2026-01-09 03:00:00+00:00,62.60726
2026-01-09 04:00:00+00:00,61.164963
2026-01-09 05:00:00+00:00,66.89373
2026-01-09 06:00:00+00:00,74.67649
2026-01-09 07:00:00+00:00,78.25828
2026-01-09 08:00:00+00:00,83.87216
2026-01-09 09:00:00+00:00,79.982544
2026-01-09 10:00:00+00:00,79.26445
2026-01-09 11:00:00+00:00,84.251305
2026-01-09 12:00:00+00:00,85.86125
2026-01-09 13:00:00+00:00,86.87632
2026-01-09 14:00:00+00:00,86.60039
2026-01-09 15:00:00+00:00,86.83507
2026-01-09 16:00:00+00:00,93.70332
2026-01-09 17:00:00+00:00,94.405304
2026-01-09 18:00:00+00:00,84.088234
2026-01-09 19:00:00+00:00,67.22936
2026-01-09 20:00:00+00:00,56.48021
2026-01-09 21:00:00+00:00,56.881466
2026-01-09 22:00:00+00:00,56.769
2026-01-09 23:00:00+00:00,54.607475
2026-01-10 00:00:00+00:00,66.96884
2026-01-10 01:00:00+00:00,64.93818
2026-01-10 02:00:00+00:00,63.803623
2026-01-10 03:00:00+00:00,63.853508
2026-01-10 04:00:00+00:00,66.284386
2026-01-10 05:00:00+00:00,74.98987
2026-01-10 06:00:00+00:00,87.20481
2026-01-10 07:00:00+00:00,93.299644
2026-01-10 08:00:00+00:00,94.4984
2026-01-10 09:00:00+00:00,93.65009
2026-01-10 10:00:00+00:00,92.12512
2026-01-10 11:00:00+00:00,92.73517
2026-01-10 12:00:00+00:00,93.973206
2026-01-10 13:00:00+00:00,99.02569
2026-01-10 14:00:00+00:00,107.0819
2026-01-10 15:00:00+00:00,117.28143
2026-01-10 16:00:00+00:00,127.902176
2026-01-10 17:00:00+00:00,126.80947
2026-01-10 18:00:00+00:00,118.08218
2026-01-10 19:00:00+00:00,110.32054
2026-01-10 20:00:00+00:00,105.34144
2026-01-10 21:00:00+00:00,101.780876
2026-01-10 22:00:00+00:00,98.84895
2026-01-10 23:00:00+00:00,96.04874
2026-01-11 00:00:00+00:00,91.55356
2026-01-11 01:00:00+00:00,87.948395
2026-01-11 02:00:00+00:00,85.63502
2026-01-11 03:00:00+00:00,84.974434
2026-01-11 04:00:00+00:00,87.38521
2026-01-11 05:00:00+00:00,93.83816
2026-01-11 06:00:00+00:00,101.65948
2026-01-11 07:00:00+00:00,106.13821
2026-01-11 08:00:00+00:00,105.26167
2026-01-11 09:00:00+00:00,104.87432
2026-01-11 10:00:00+00:00,105.0535
2026-01-11 11:00:00+00:00,103.41177
2026-01-11 12:00:00+00:00,103.17796
2026-01-11 13:00:00+00:00,107.37488
2026-01-11 14:00:00+00:00,113.41258
2026-01-11 15:00:00+00:00,121.643326
2026-01-11 16:00:00+00:00,126.7565
2026-01-11 17:00:00+00:00,122.904305
2026-01-11 18:00:00+00:00,115.271996
2026-01-11 19:00:00+00:00,107.1319
2026-01-11 20:00:00+00:00,99.75589
2026-01-11 21:00:00+00:00,93.4845
2026-01-11 22:00:00+00:00,86.370056
2026-01-11 23:00:00+00:00,82.75265
2026-01-12 00:00:00+00:00,78.92853
2026-01-12 01:00:00+00:00,76.52359
2026-01-12 02:00:00+00:00,74.48785
2026-01-12 03:00:00+00:00,76.72371
2026-01-12 04:00:00+00:00,86.441574
2026-01-12 05:00:00+00:00,100.65743
2026-01-12 06:00:00+00:00,113.0865
2026-01-12 07:00:00+00:00,116.87788
2026-01-12 08:00:00+00:00,112.8033
2026-01-12 09:00:00+00:00,111.811295
2026-01-12 10:00:00+00:00,111.25223
2026-01-12 11:00:00+00:00,110.59454
2026-01-12 12:00:00+00:00,109.11174
2026-01-12 13:00:00+00:00,109.53075
2026-01-12 14:00:00+00:00,112.08865
2026-01-12 15:00:00+00:00,113.14479
2026-01-12 16:00:00+00:00,116.02255
2026-01-12 17:00:00+00:00,116.72525
2026-01-12 18:00:00+00:00,110.480865
2026-01-12 19:00:00+00:00,102.29256
2026-01-12 20:00:00+00:00,97.698555
2026-01-12 21:00:00+00:00,91.867874
2026-01-12 22:00:00+00:00,85.162
2026-01-12 23:00:00+00:00,84.74572
2026-01-13 00:00:00+00:00,85.645386
2026-01-13 01:00:00+00:00,84.03119
2026-01-13 02:00:00+00:00,83.693855
2026-01-13 03:00:00+00:00,86.62965
2026-01-13 04:00:00+00:00,93.84504
2026-01-13 05:00:00+00:00,104.3195
2026-01-13 06:00:00+00:00,114.43532
2026-01-13 07:00:00+00:00,121.992874
2026-01-13 08:00:00+00:00,121.69827
2026-01-13 09:00:00+00:00,121.27508
2026-01-13 10:00:00+00:00,121.065956
2026-01-13 11:00:00+00:00,121.16632
2026-01-13 12:00:00+00:00,120.06897
2026-01-13 13:00:00+00:00,119.53024
2026-01-13 14:00:00+00:00,121.0139
2026-01-13 15:00:00+00:00,122.71705
2026-01-13 16:00:00+00:00,123.081314
2026-01-13 17:00:00+00:00,117.07396
2026-01-13 18:00:00+00:00,109.06801
2026-01-13 19:00:00+00:00,100.77844
2026-01-13 20:00:00+00:00,93.67013
2026-01-13 21:00:00+00:00,87.656075
2026-01-13 22:00:00+00:00,81.67214
2026-01-13 23:00:00+00:00,80.075
2026-01-14 00:00:00+00:00,83.94755
2026-01-14 01:00:00+00:00,82.10976
2026-01-14 02:00:00+00:00,80.63933
2026-01-14 03:00:00+00:00,82.10338
2026-01-14 04:00:00+00:00,87.254486
2026-01-14 05:00:00+00:00,99.59713
2026-01-14 06:00:00+00:00,114.68032
2026-01-14 07:00:00+00:00,122.4708
2026-01-14 08:00:00+00:00,119.1234
2026-01-14 09:00:00+00:00,115.31362
2026-01-14 10:00:00+00:00,113.296364
2026-01-14 11:00:00+00:00,113.12844
2026-01-14 12:00:00+00:00,114.14018
2026-01-14 13:00:00+00:00,116.37099
2026-01-14 14:00:00+00:00,120.45908
2026-01-14 15:00:00+00:00,126.64656
2026-01-14 16:00:00+00:00,131.60832
2026-01-14 17:00:00+00:00,129.24852
2026-01-14 18:00:00+00:00,119.30107
2026-01-14 19:00:00+00:00,109.88256
2026-01-14 20:00:00+00:00,104.322815
2026-01-14 21:00:00+00:00,100.54862
2026-01-14 22:00:00+00:00,95.29006
2026-01-14 23:00:00+00:00,93.98559
2026-01-15 00:00:00+00:00,95.767715
2026-01-15 01:00:00+00:00,91.53923
2026-01-15 02:00:00+00:00,88.31481
2026-01-15 03:00:00+00:00,89.57212
2026-01-15 04:00:00+00:00,96.53769
2026-01-15 05:00:00+00:00,111.28943
2026-01-15 06:00:00+00:00,126.13338
2026-01-15 07:00:00+00:00,128.03513
2026-01-15 08:00:00+00:00,117.62799
2026-01-15 09:00:00+00:00,107.89507
2026-01-15 10:00:00+00:00,102.52915
2026-01-15 11:00:00+00:00,102.14441
2026-01-15 12:00:00+00:00,103.50568
2026-01-15 13:00:00+00:00,108.70656
2026-01-15 14:00:00+00:00,116.84006
2026-01-15 15:00:00+00:00,130.99399
2026-01-15 16:00:00+00:00,140.58176
2026-01-15 17:00:00+00:00,133.85468
2026-01-15 18:00:00+00:00,117.93115
2026-01-15 19:00:00+00:00,102.99393
2026-01-15 20:00:00+00:00,94.21654
2026-01-15 21:00:00+00:00,89.24074
2026-01-15 22:00:00+00:00,82.506195
2026-01-15 23:00:00+00:00,79.97886
2026-01-16 00:00:00+00:00,77.35535
2026-01-16 01:00:00+00:00,74.941895
2026-01-16 02:00:00+00:00,73.20448
2026-01-16 03:00:00+00:00,76.526794
2026-01-16 04:00:00+00:00,85.60341
2026-01-16 05:00:00+00:00,99.728745
2026-01-16 06:00:00+00:00,112.90971
2026-01-16 07:00:00+00:00,114.30289
2026-01-16 08:00:00+00:00,106.396095
2026-01-16 09:00:00+00:00,100.657585
2026-01-16 10:00:00+00:00,98.817116
2026-01-16 11:00:00+00:00,101.38325
2026-01-16 12:00:00+00:00,106.440834
2026-01-16 13:00:00+00:00,114.078384
2026-01-16 14:00:00+00:00,124.2858
2026-01-16 15:00:00+00:00,134.61412
2026-01-16 16:00:00+00:00,139.80142
2026-01-16 17:00:00+00:00,133.86801
2026-01-16 18:00:00+00:00,121.23009
2026-01-16 19:00:00+00:00,110.932076
2026-01-16 20:00:00+00:00,105.398346
2026-01-16 21:00:00+00:00,101.2555
2026-01-16 22:00:00+00:00,96.16574
2026-01-16 23:00:00+00:00,93.471565
2026-01-17 00:00:00+00:00,97.555504
2026-01-17 01:00:00+00:00,93.79814
2026-01-17 02:00:00+00:00,91.0483
2026-01-17 03:00:00+00:00,90.34768
2026-01-17 04:00:00+00:00,91.800705
2026-01-17 05:00:00+00:00,97.58316
2026-01-17 06:00:00+00:00,107.026596
2026-01-17 07:00:00+00:00,113.218666
2026-01-17 08:00:00+00:00,113.27788
2026-01-17 09:00:00+00:00,110.15645
2026-01-17 10:00:00+00:00,108.67503
2026-01-17 11:00:00+00:00,108.21463
2026-01-17 12:00:00+00:00,108.09699
2026-01-17 13:00:00+00:00,113.62407
2026-01-17 14:00:00+00:00,120.78374
2026-01-17 15:00:00+00:00,133.97795
2026-01-17 16:00:00+00:00,142.82475
2026-01-17 17:00:00+00:00,138.14992
2026-01-17 18:00:00+00:00,126.24548
2026-01-17 19:00:00+00:00,115.677284
2026-01-17 20:00:00+00:00,109.04167
2026-01-17 21:00:00+00:00,105.00972
2026-01-17 22:00:00+00:00,100.02127
2026-01-17 23:00:00+00:00,97.00813
2026-01-18 00:00:00+00:00,108.99193
2026-01-18 01:00:00+00:00,105.49693
2026-01-18 02:00:00+00:00,103.11597
2026-01-18 03:00:00+00:00,102.71748
2026-01-18 04:00:00+00:00,103.340485
2026-01-18 05:00:00+00:00,106.9121
2026-01-18 06:00:00+00:00,113.53673
2026-01-18 07:00:00+00:00,119.00441
2026-01-18 08:00:00+00:00,115.66824
2026-01-18 09:00:00+00:00,112.12904
2026-01-18 10:00:00+00:00,110.528885
2026-01-18 11:00:00+00:00,108.829414
2026-01-18 12:00:00+00:00,107.919914
2026-01-18 13:00:00+00:00,111.10943
2026-01-18 14:00:00+00:00,116.38872
2026-01-18 15:00:00+00:00,125.553604
2026-01-18 16:00:00+00:00,133.2601
2026-01-18 17:00:00+00:00,132.90738
2026-01-18 18:00:00+00:00,126.39402
2026-01-18 19:00:00+00:00,118.31442
2026-01-18 20:00:00+00:00,112.56676
2026-01-18 21:00:00+00:00,108.771126
2026-01-18 22:00:00+00:00,104.70541
2026-01-18 23:00:00+00:00,101.63121
2026-01-19 00:00:00+00:00,101.58194
2026-01-19 01:00:00+00:00,99.99526
2026-01-19 02:00:00+00:00,99.24528
2026-01-19 03:00:00+00:00,103.39995
2026-01-19 04:00:00+00:00,115.084076
2026-01-19 05:00:00+00:00,136.89354
2026-01-19 06:00:00+00:00,156.07495
2026-01-19 07:00:00+00:00,158.39223
2026-01-19 08:00:00+00:00,144.26364
2026-01-19 09:00:00+00:00,131.61485
2026-01-19 10:00:00+00:00,126.14346
2026-01-19 11:00:00+00:00,124.74659
2026-01-19 12:00:00+00:00,127.20355
2026-01-19 13:00:00+00:00,131.63766
2026-01-19 14:00:00+00:00,140.8933
2026-01-19 15:00:00+00:00,152.62909
2026-01-19 16:00:00+00:00,164.17964
2026-01-19 17:00:00+00:00,169.57098
2026-01-19 18:00:00+00:00,158.06732
2026-01-19 19:00:00+00:00,137.42482
2026-01-19 20:00:00+00:00,126.175934
2026-01-19 21:00:00+00:00,120.50404
2026-01-19 22:00:00+00:00,114.572495
2026-01-19 23:00:00+00:00,112.481865
2026-01-20 00:00:00+00:00,116.04865
2026-01-20 01:00:00+00:00,113.1358
2026-01-20 02:00:00+00:00,111.22323
2026-01-20 03:00:00+00:00,114.62351
2026-01-20 04:00:00+00:00,127.63369
2026-01-20 05:00:00+00:00,153.39006
2026-01-20 06:00:00+00:00,178.60454
2026-01-20 07:00:00+00:00,180.71005
2026-01-20 08:00:00+00:00,160.2156
2026-01-20 09:00:00+00:00,143.78615
2026-01-20 10:00:00+00:00,135.78331
2026-01-20 11:00:00+00:00,133.54248
2026-01-20 12:00:00+00:00,136.07901
2026-01-20 13:00:00+00:00,145.36707
2026-01-20 14:00:00+00:00,161.74411
2026-01-20 15:00:00+00:00,181.97063
2026-01-20 16:00:00+00:00,190.33037
2026-01-20 17:00:00+00:00,181.84155
2026-01-20 18:00:00+00:00,164.99834
2026-01-20 19:00:00+00:00,147.75374
2026-01-20 20:00:00+00:00,134.49454
2026-01-20 21:00:00+00:00,126.59027
2026-01-20 22:00:00+00:00,120.12563
2026-01-20 23:00:00+00:00,117.95271
2026-01-21 00:00:00+00:00,100.16988
2026-01-21 01:00:00+00:00,98.833305
2026-01-21 02:00:00+00:00,98.71644
2026-01-21 03:00:00+00:00,104.094
2026-01-21 04:00:00+00:00,118.14823
2026-01-21 05:00:00+00:00,146.72119
2026-01-21 06:00:00+00:00,175.18126
2026-01-21 07:00:00+00:00,166.85518
2026-01-21 08:00:00+00:00,134.36621
2026-01-21 09:00:00+00:00,109.449326
2026-01-21 10:00:00+00:00,95.12058
2026-01-21 11:00:00+00:00,92.21856
2026-01-21 12:00:00+00:00,96.66865
2026-01-21 13:00:00+00:00,111.31036
2026-01-21 14:00:00+00:00,130.84119
2026-01-21 15:00:00+00:00,152.9428
2026-01-21 16:00:00+00:00,160.51881
2026-01-21 17:00:00+00:00,148.65512
2026-01-21 18:00:00+00:00,131.27185
2026-01-21 19:00:00+00:00,116.72397
2026-01-21 20:00:00+00:00,106.701004
2026-01-21 21:00:00+00:00,101.10604
2026-01-21 22:00:00+00:00,96.947395
2026-01-21 23:00:00+00:00,96.83454
2026-01-22 00:00:00+00:00,93.87314
2026-01-22 01:00:00+00:00,92.01161
2026-01-22 02:00:00+00:00,90.4963
2026-01-22 03:00:00+00:00,92.40735
2026-01-22 04:00:00+00:00,98.12321
2026-01-22 05:00:00+00:00,111.441574
2026-01-22 06:00:00+00:00,127.42039
2026-01-22 07:00:00+00:00,129.20052
2026-01-22 08:00:00+00:00,115.05022
2026-01-22 09:00:00+00:00,103.91938
2026-01-22 10:00:00+00:00,97.09697
2026-01-22 11:00:00+00:00,94.38647
2026-01-22 12:00:00+00:00,94.86503
2026-01-22 13:00:00+00:00,100.72565
2026-01-22 14:00:00+00:00,109.11648
2026-01-22 15:00:00+00:00,121.10399
2026-01-22 16:00:00+00:00,128.88762
2026-01-22 17:00:00+00:00,127.49499
2026-01-22 18:00:00+00:00,119.1607
2026-01-22 19:00:00+00:00,109.24431
2026-01-22 20:00:00+00:00,102.124855
2026-01-22 21:00:00+00:00,99.377464
2026-01-22 22:00:00+00:00,96.31697
2026-01-22 23:00:00+00:00,94.254944
2026-01-23 00:00:00+00:00,95.93248
2026-01-23 01:00:00+00:00,93.85979
2026-01-23 02:00:00+00:00,92.23877
2026-01-23 03:00:00+00:00,93.92828
2026-01-23 04:00:00+00:00,98.94858
2026-01-23 05:00:00+00:00,111.58139
2026-01-23 06:00:00+00:00,125.652985
2026-01-23 07:00:00+00:00,126.23001
2026-01-23 08:00:00+00:00,113.272865
2026-01-23 09:00:00+00:00,102.715836
2026-01-23 10:00:00+00:00,96.430786
2026-01-23 11:00:00+00:00,93.975235
2026-01-23 12:00:00+00:00,93.96988
2026-01-23 13:00:00+00:00,99.04922
2026-01-23 14:00:00+00:00,106.970726
2026-01-23 15:00:00+00:00,118.09911
2026-01-23 16:00:00+00:00,125.33155
2026-01-23 17:00:00+00:00,123.772415
2026-01-23 18:00:00+00:00,115.64981
2026-01-23 19:00:00+00:00,107.22745
2026-01-23 20:00:00+00:00,101.023636
2026-01-23 21:00:00+00:00,98.37259
2026-01-23 22:00:00+00:00,95.313446
2026-01-23 23:00:00+00:00,94.23354
2026-01-24 00:00:00+00:00,96.60788
2026-01-24 01:00:00+00:00,94.76145
2026-01-24 02:00:00+00:00,94.12894
2026-01-24 03:00:00+00:00,95.48181
2026-01-24 04:00:00+00:00,97.38688
2026-01-24 05:00:00+00:00,102.35779
2026-01-24 06:00:00+00:00,112.875694
2026-01-24 07:00:00+00:00,119.134895
2026-01-24 08:00:00+00:00,117.27117
2026-01-24 09:00:00+00:00,113.44104
2026-01-24 10:00:00+00:00,110.10248
2026-01-24 11:00:00+00:00,107.36468
