cap_mw,mw_bought,mw_bought_per_pbat,feasible,revenue_eur,loss_frac,loss_eur_mw_y,peak_grid_mw,zone,duration_h,profile,peak_per_pbat,ceiling_eur,hours
6.0,-1.0,-1.0,True,89377.066018749,0.0,0.0,6.0,DE-LU,2.0,flat,5.0,89377.066018749,8760
5.75,-0.75,-0.75,True,88059.29288266313,0.0147439739833196,1317.7731360858745,5.75,DE-LU,2.0,flat,5.0,89377.066018749,8760
5.5,-0.5,-0.5,True,84444.94014350213,0.0551833495430722,4932.125875246871,5.5,DE-LU,2.0,flat,5.0,89377.066018749,8760
5.25,-0.25,-0.25,True,70622.04662008597,0.2098415201359229,18755.019398663033,5.25,DE-LU,2.0,flat,5.0,89377.066018749,8760
5.0,0.0,0.0,True,0.0,1.0,89377.066018749,5.0,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.9,0.0999999999999996,0.0999999999999996,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.8,0.2000000000000001,0.2000000000000001,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.7,0.2999999999999998,0.2999999999999998,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.6,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.5,0.5,0.5,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.4,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.3,0.7000000000000002,0.7000000000000002,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.2,0.7999999999999998,0.7999999999999998,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.1,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
4.0,1.0,1.0,False,,,,,DE-LU,2.0,flat,5.0,89377.066018749,8760
3.0,-1.0,-1.0,True,89377.066018749,0.0,0.0,3.0,DE-LU,2.0,flat,2.0,89377.066018749,8760
2.75,-0.75,-0.75,True,88059.29288266313,0.0147439739833196,1317.7731360858745,2.75,DE-LU,2.0,flat,2.0,89377.066018749,8760
2.5,-0.5,-0.5,True,84444.94014350213,0.0551833495430722,4932.125875246871,2.5,DE-LU,2.0,flat,2.0,89377.066018749,8760
2.25,-0.25,-0.25,True,70622.04662008597,0.2098415201359229,18755.019398663033,2.25,DE-LU,2.0,flat,2.0,89377.066018749,8760
2.0,0.0,0.0,True,0.0,1.0,89377.066018749,2.0,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.9,0.1,0.1,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.8,0.1999999999999999,0.1999999999999999,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.7,0.3,0.3,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.6,0.3999999999999999,0.3999999999999999,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.5,0.5,0.5,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.4,0.6000000000000001,0.6000000000000001,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.3,0.7,0.7,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.2,0.8,0.8,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.1,0.8999999999999999,0.8999999999999999,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
1.0,1.0,1.0,False,,,,,DE-LU,2.0,flat,2.0,89377.066018749,8760
11.0,-1.0,-1.0,True,89377.066018749,0.0,0.0,11.0,DE-LU,2.0,flat,10.0,89377.066018749,8760
10.75,-0.75,-0.75,True,88059.29288266313,0.0147439739833196,1317.7731360858745,10.75,DE-LU,2.0,flat,10.0,89377.066018749,8760
10.5,-0.5,-0.5,True,84444.94014350213,0.0551833495430722,4932.125875246871,10.5,DE-LU,2.0,flat,10.0,89377.066018749,8760
10.25,-0.25,-0.25,True,70622.04662008597,0.2098415201359229,18755.019398663033,10.25,DE-LU,2.0,flat,10.0,89377.066018749,8760
10.0,0.0,0.0,True,0.0,1.0,89377.066018749,10.0,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.9,0.0999999999999996,0.0999999999999996,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.8,0.1999999999999993,0.1999999999999993,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.7,0.3000000000000007,0.3000000000000007,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.6,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.5,0.5,0.5,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.4,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.3,0.6999999999999993,0.6999999999999993,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.2,0.8000000000000007,0.8000000000000007,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.1,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
9.0,1.0,1.0,False,,,,,DE-LU,2.0,flat,10.0,89377.066018749,8760
5.9999881075537305,-1.0,-1.0,True,89377.066018749,0.0,0.0,5.987724022002031,DE-LU,2.0,cooling,5.0,89377.066018749,8760
5.7499881075537305,-0.75,-0.75,True,89273.2678569435,0.0011613511880522,103.79816180550552,5.7499881075537305,DE-LU,2.0,cooling,5.0,89377.066018749,8760
5.4999881075537305,-0.5,-0.5,True,88727.17665905925,0.0072713212531884,649.8893596897542,5.4999881075537305,DE-LU,2.0,cooling,5.0,89377.066018749,8760
5.2499881075537305,-0.25,-0.25,True,86795.08313413248,0.0288886511901709,2581.9828846165183,5.2499881075537305,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.9999881075537305,0.0,0.0,True,79412.05234102445,0.1114940792041008,9965.01367772455,4.9999881075537305,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.899988107553731,0.0999999999999996,0.0999999999999996,True,71282.89109165277,0.2024476270377967,18094.174927096232,4.899988107553732,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.79998810755373,0.2000000000000001,0.2000000000000001,True,58681.00107984222,0.3434445356761603,30696.064938906777,4.79998810755373,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.699988107553731,0.2999999999999998,0.2999999999999998,True,41745.46648728424,0.532928654443332,47631.59953146476,4.699988107553731,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.59998810755373,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.4999881075537305,0.5,0.5,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.399988107553731,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.29998810755373,0.7000000000000002,0.7000000000000002,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.199988107553731,0.7999999999999998,0.7999999999999998,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
4.09998810755373,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
3.9999881075537305,1.0,1.0,False,,,,,DE-LU,2.0,cooling,5.0,89377.066018749,8760
2.9999952430214925,-1.0,-1.0,True,89377.066018749,0.0,0.0,2.9950896088008125,DE-LU,2.0,cooling,2.0,89377.066018749,8760
2.7499952430214925,-0.75,-0.75,True,89024.61852999213,0.0039433772494045,352.4474887568649,2.749995243021493,DE-LU,2.0,cooling,2.0,89377.066018749,8760
2.4999952430214925,-0.5,-0.5,True,87383.56051073206,0.0223044411370446,1993.5055080169404,2.499995243021493,DE-LU,2.0,cooling,2.0,89377.066018749,8760
2.2499952430214925,-0.25,-0.25,True,82398.02189457069,0.0780854019387288,6979.044124178312,2.249995243021493,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.9999952430214925,0.0,0.0,True,60642.95439597148,0.3214931178961485,28734.11162277752,1.999995243021493,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.8999952430214924,0.1,0.1,True,42094.4960838685,0.5290235184601142,47282.5699348805,1.8999952430214928,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.7999952430214925,0.1999999999999999,0.1999999999999999,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.6999952430214924,0.3,0.3,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.5999952430214923,0.3999999999999999,0.3999999999999999,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.4999952430214925,0.5,0.5,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.3999952430214924,0.6000000000000001,0.6000000000000001,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.2999952430214925,0.7,0.7,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.1999952430214924,0.8,0.8,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
1.0999952430214923,0.8999999999999999,0.8999999999999999,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
0.9999952430214925,1.0,1.0,False,,,,,DE-LU,2.0,cooling,2.0,89377.066018749,8760
10.99997621510746,-1.0,-1.0,True,89377.066018749,0.0,0.0,10.975448044004064,DE-LU,2.0,cooling,10.0,89377.066018749,8760
10.74997621510746,-0.75,-0.75,True,89342.17671907827,0.0003903607628316,34.88929967072909,10.74997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
10.49997621510746,-0.5,-0.5,True,89144.19010779643,0.0026055443675419,232.87591095257085,10.49997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
10.24997621510746,-0.25,-0.25,True,88468.60821573372,0.0101643278693519,908.457803015277,10.24997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.99997621510746,0.0,0.0,True,86238.94957975118,0.0351109806887096,3138.116438997822,9.99997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.89997621510746,0.0999999999999996,0.0999999999999996,True,83695.22959604755,0.0635715254012651,5681.836422701454,9.89997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.799976215107462,0.1999999999999993,0.1999999999999993,True,78250.43876334094,0.1244908537619033,11126.627255408064,9.799976215107462,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.69997621510746,0.3000000000000007,0.3000000000000007,True,70692.38360108781,0.209054551127709,18684.682417661184,9.69997621510746,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.59997621510746,0.4000000000000003,0.4000000000000003,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.49997621510746,0.5,0.5,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.39997621510746,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.299976215107462,0.6999999999999993,0.6999999999999993,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.19997621510746,0.8000000000000007,0.8000000000000007,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
9.09997621510746,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
8.999976215107461,1.0,1.0,False,,,,,DE-LU,2.0,cooling,10.0,89377.066018749,8760
6.0,-1.0,-1.0,True,146826.14035311254,0.0,0.0,6.0,DE-LU,4.0,flat,5.0,146826.14035311254,8760
5.75,-0.75,-0.75,True,139606.9316985497,0.0491684153598319,7219.208654562826,5.75,DE-LU,4.0,flat,5.0,146826.14035311254,8760
5.5,-0.5,-0.5,True,122480.45227373549,0.165813035886024,24345.688079377054,5.5,DE-LU,4.0,flat,5.0,146826.14035311254,8760
5.25,-0.25,-0.25,True,85807.13813373008,0.4155867754381717,61019.002219382455,5.25,DE-LU,4.0,flat,5.0,146826.14035311254,8760
5.0,0.0,0.0,True,0.0,1.0,146826.14035311254,5.0,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.9,0.0999999999999996,0.0999999999999996,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.8,0.2000000000000001,0.2000000000000001,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
4.7,0.2999999999999998,0.2999999999999998,False,,,,,DE-LU,4.0,flat,5.0,146826.14035311254,8760
